review_id,hotel_id,place_id,hotel_name,area,review_rating,review_date_raw,review_text,review_language,reviewer_name_raw,source_url,review_url,source_platform,collected_at,collection_order,rating_group,collection_batch,is_rating_only,extraction_confidence
gma_58986899581de834d7788cda,BOD103,ChIJZXT_SYldvhQRxJH8xVKHKd4,Green Bay Resort & Spa Bodrum,Güvercinlik,1,Google üzerinde 4 hafta önce,"17 Temmuz tarihinde ailemle birlikte bu otelde konakladık. Maalesef daha ilk dakikalardan itibaren yaşadığımız deneyimler nedeniyle tatilimiz beklentimizin oldukça altında kaldı.
Otele giriş yaptıktan sonra odamızın 15-20 dakika içinde hazır olacağı söylenerek restorana yönlendirildik. Ancak restoranda karşılaştığımız manzara hiç hoş değildi. Birçok masada kirli tabak ve bardaklar duruyordu. İçeceklerimiz geldiğinde bardaklardan biri yıkanmamıştı, çorba kaselerinde kalıntılar vardı ve salatanın içinde toprak ile yabancı maddeler gördük. Durumu mutfak şefine ilettim, ilk kez yaşandığını söyledi ancak ilk günden hijyen konusunda güvenimiz sarsıldı.
Yaşananlardan sonra tatili iptal etmeyi düşündük. Ancak o dönem bölgede otel bulmak çok zordu ve bulabildiklerimiz yaklaşık 80-100 bin TL daha pahalıydı. Bu nedenle konaklamaya devam etmek zorunda kaldık.
Odamız temizdi ve bu konuda bir sorun yaşamadık. Fakat bize “sessiz oda” denilmesine rağmen çocuk aquaparkının hemen yanında konakladık. Her akşam yaklaşık 21.00’de başlayan müzik 23.00-23.30’a kadar sürdü ve odanın içinde hissedilecek kadar yüksekti.
Yemek çeşitliliği ve kalitesi de beklentimizin altındaydı. Dört akşam boyunca ızgara bölümünde neredeyse aynı menü vardı. Saat 20.30 civarında tatlılar bitiyor, neden yenilenmediğini sorduğumuzda ise “Bu saatten sonra gelen olmaz.” cevabını alıyorduk. Açık büfe bölümünde sinekler dolaşıyordu. Ayrıca bazı personelin servis sırasında kaşık veya maşa yerine eliyle yiyeceklere temas ettiğini gördüm. Uyardığımda bunun doğru olmadığını kabul etmelerine rağmen uygulama devam etti. Bu durum beni en çok rahatsız eden konulardan biri oldu.
Barda şişe soda istediğinizde “yok” deniliyor ancak bazı misafirlere veya görevlilere verildiğini görüyorsunuz. Bu da hizmet standardı açısından hoş bir izlenim bırakmadı.
Olumlu yönleri de söylemek isterim. Otelin koy içinde, ormanla iç içe konumu gerçekten çok güzel. Odamız her gün düzenli şekilde temizlendi. En büyük teşekkürü ise otelde canla başla çalışan genç personele etmek isterim. Sabah akşam aynı arkadaşları gördük; yoğun tempoya rağmen güler yüzlerini korumaya çalışıyorlardı. Yaşanan aksaklıkların sorumluluğunu onlara yüklemek doğru olmaz.
Açıkçası ETS Tur’daki 8,6 puanı görünce şaşırdım. Bu tamamen benim kişisel deneyimimdir ancak yaşadıklarımız doğrultusunda otelin 7,0-7,2 seviyesinde bir puanı daha gerçekçi yansıtacağını düşünüyorum. ETS Tur’un da bu tür tesislerde düzenli ve bağımsız kalite denetimleri yapmasının faydalı olacağı kanaatindeyim.
Sonuç olarak bu tesisi tekrar tercih etmem. Benzer bir tatilde imkânım varsa biraz daha fazla ödeyip farklı bir oteli seçerim. Çünkü tatilde en önemli beklentim hijyen, hizmet kalitesi ve misafire verilen değerdir. Maalesef bu konularda beklentilerimizi karşılayamadı.",,,https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20%26%20Spa%20Bodrum&query_place_id=ChIJZXT_SYldvhQRxJH8xVKHKd4,https://www.google.com/travel/hotels/entity/CgsIxKPyr6zq4ZTeARAB/reviews,Google Travel aggregated (Google),2026-08-25T12:30:47+00:00,1,LOW,smoke_2026-08-25T154947_0000_read_only_case_study_import,False,HIGH
gma_2acf86cf8f60372726a91889,BOD103,ChIJZXT_SYldvhQRxJH8xVKHKd4,Green Bay Resort & Spa Bodrum,Güvercinlik,1,Tripadvisor üzerinde bir ay önce,"BU OTELDE CİDDİ HİJYEN PROBLEMLERİ VAR VE LÜTFEN BURAYA GİDECEKLER DİKKAT ETSİN. ASLA TAVSİYE ETMİYORUM.|Öncelikle otelde çok ciddi problemler var. Hijyen en başta geliyor her taraf ama her taraf kara sinek, sivrisinek. …",,,https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20%26%20Spa%20Bodrum&query_place_id=ChIJZXT_SYldvhQRxJH8xVKHKd4,https://www.google.com/travel/hotels/entity/CgsIxKPyr6zq4ZTeARAB/reviews,Google Travel aggregated (Tripadvisor),2026-08-25T12:30:47+00:00,2,LOW,smoke_2026-08-25T154947_0000_read_only_case_study_import,False,HIGH
gma_fad1238497d600f8357f1d69,BOD103,ChIJZXT_SYldvhQRxJH8xVKHKd4,Green Bay Resort & Spa Bodrum,Güvercinlik,5,Google üzerinde bir ay önce,"Haziran ayı sonunda bir konaklama gerçekleştirdik, odamıza giriş saatinden daha erken giriş yaptık bu güzel bir durumdu hotelden genel anlamda epey memnun kaldım fiyat performans diyebilirim.
1- Hotelin denizi muazzam dalgasız ve su durgun ayrıca epey berraktı, plajda şezlong ve şemsiyeleri rahatça yer bulabilirsiniz.
2- Hotelin özel bir koy içerisinde yer alması sessiz sakin ve huzurlu bir ortam oluşturuyor. Peyzajı göze hoş geliyor etraf temizdi.
3- Alkol konusunda cin ve votka için Gilbey’s markasını kullandıklarını gördüm viski için J&B ve Johnnie Walker Red Label mevcuttu bira olarak fıçı bira servis ediliyordu gayet yeterliydi. Kokteyl menüsü yapmalarını gayet olumlu buldum seçenekleri mevcuttu.
4- Yemek konusunda ızgara bölümünde genellikle öğle ve akşam yemeklerinde dana köfte ve balık sabitti ayrıca yanına tavuk veya hindi çıkarılıyordu bir gün ise dana ciğer sunumu yapılmıştı. Mezeleri çeşitli ve lezzetliydi. Meyve seçenekleri farklı farklıydı. Tatlı bölümüne epey özeniliyordu baklava çeşitleri ve diğer farklı tatlılar bolca sunuluyordu. Dondurmaları gayet iyiydi. Snack restoranı A’La Carte hizmet veriyordu biz pizza, fettucini alfredo ve tavuk wrap söylemiştik gayet lezzetli geldi.
5- Odaları gayet yeterliydi mini buz dolabı güzel soğutuyordu yatak rahattı genel oda ambiyansı yeni bir tasarım olmadığı belliydi fakat oda temizliği her gün kapıya hizmete geldi biz memnun kaldık.
6- Hotelin öğlen animasyonları vardı ayrıca plajın bir bölümünde müzik çalıyordu akşam vakti de çeşitli animasyonlar mevcuttu.
7- Genel çalışan tavırları gayet iyiydi kibar konuşuyorlar. Yiyecek ve içecek alırken sıra beklemiyorsunuz. Ayrıca hotelde plaja yakın iki adet büyük bar olması epey iyiydi. Oturma alanları gayet yeterliydi her zaman boş masa bulunuyordu.
Son değerlendirme olarak kesinlikle tekrar gelebileceğim bir işletme özenli ve titiz bir yer, verdiğim ücretin karşılığını aldığım için ayrıca Green Bay Resort Hotel’e teşekkür ederim.",,,https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20%26%20Spa%20Bodrum&query_place_id=ChIJZXT_SYldvhQRxJH8xVKHKd4,https://www.google.com/travel/hotels/entity/CgsIxKPyr6zq4ZTeARAB/reviews,Google Travel aggregated (Google),2026-08-25T12:30:47+00:00,3,HIGH,smoke_2026-08-25T154947_0000_read_only_case_study_import,False,HIGH
gma_557acffbc31d84abe370ded4,BOD103,ChIJZXT_SYldvhQRxJH8xVKHKd4,Green Bay Resort & Spa Bodrum,Güvercinlik,5,Trip.com üzerinde bir yıl önce,"Her shey chok guzeldi,bir tek odada karincalarin olmasi rahatsiz etdi,bir de alakart restoranlari kullanamdik,onunla ilgilenen bayan hich yerinde tutamadik,sicak havada cocukla da bizim binadan ana binaya gunde 3-4 kes gidemezdjm yerinde …",,,https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20%26%20Spa%20Bodrum&query_place_id=ChIJZXT_SYldvhQRxJH8xVKHKd4,https://www.google.com/travel/hotels/entity/CgsIxKPyr6zq4ZTeARAB/reviews,Google Travel aggregated (Trip.com),2026-08-25T12:30:47+00:00,4,HIGH,smoke_2026-08-25T154947_0000_read_only_case_study_import,False,HIGH
gma_c4821aa7553d61643056adea,BOD103,ChIJZXT_SYldvhQRxJH8xVKHKd4,Green Bay Resort & Spa Bodrum,Güvercinlik,2,Google üzerinde 3 hafta önce,"Otelde geçirdiğimiz tatil maalesef beklentilerimizi tam olarak karşılamadı.
En büyük sorunlardan biri restoran bölümündeydi. Sabah, öğle ve akşam yemeklerinde neredeyse her gün aynı menüler sunuluyordu. Birçok otelde farklı günlerde İtalyan, Meksika veya yöresel mutfaklar gibi tematik akşamlar düzenlenirken burada hiçbir çeşitlilik yoktu. Farklı lezzetler denemek isteyenler için hayal kırıklığı yaratabilir.
Restorandaki hijyen de yeterli değildi. Tabaklar sık sık kirli şekilde servis ediliyordu. Muhtemelen bulaşık makinesinden çıktıktan sonra kontrol edilmeden kullanıma sunuluyor. Bu durum hijyen açısından oldukça rahatsız ediciydi.
Deniz, koy olarak güzel bir konumda olsa da tabanı kumlu olduğu için en ufak harekette kum kalkıyor ve su bulanıklaşıyor. Ayrıca deniz kısa mesafede hızla derinleşiyor. Bu nedenle berrak deniz sevenler ve küçük çocuklu aileler için çok uygun olmayabilir.
Mini Club ve çocuk animasyonları oldukça yetersizdi. Görevlilerin çocuklara karşı yaklaşımını sıcak ve ilgili bulmadık. Programda belirtilen etkinlikler çoğu zaman saatinde başlamıyordu. Örneğin 11.30’da başlaması gereken bir etkinlik için alana gittiğimizde görevli bulunmuyordu; daha sonra geliyordu. Bu nedenle çocuklar için planlanan aktiviteler düzenli şekilde gerçekleştirilmiyordu.
Genel olarak otelde aktivite seçenekleri de oldukça sınırlıydı. Spor etkinlikleri ve animasyon programları hem azdı hem de beş yıldızlı bir otelden beklenen kalite ve organizasyon düzeyinde değildi.
Aquaparkın da gün boyunca sürekli açık olmaması bizim için dezavantajdı. Sadece 10.00–12.00 ile 14.00–16.00 saatleri arasında hizmet veriyor, diğer saatlerde kapalı oluyor. Ayrıca boy sınırı nedeniyle çocuğumuz ilk etapta aquaparkı kullanamıyordu. Ancak bu konuda Misafir İlişkileri’nden Pırıl Hanım bizimle yakından ilgilendi, çözüm odaklı davrandı ve kullanım konusunda yardımcı oldu. Kendisine özellikle teşekkür etmek isteriz. Tatilimiz boyunca memnun kaldığımız olumlu noktalardan biri buydu.
Odalardaki yataklar oldukça rahatsızdı ve konfor açısından beklentimizi karşılamadı.
Personel konusunda da,. Cankurtaranlar ve bazı servis personelleri yeterince profesyonel değildi. Özellikle bazı garsonların misafirlere hitap şekli kaba ve özensizdi. Örneğin “Bardağı uzatın, doldurayım.” gibi ifadeler kullanmaları beş yıldızlı bir otelde beklediğimiz hizmet anlayışıyla örtüşmüyordu.
Genel olarak otel, beş yıldızlı bir tesisten beklediğimiz hizmet kalitesini sunamadı. Yemek çeşitliliği, hijyen, çocuk aktiviteleri, animasyon ekibi, personel yaklaşımı ve organizasyon açısından ciddi iyileştirmelere ihtiyaç olduğunu düşünüyorum. Buna karşın, Misafir İlişkileri’nden Pırıl Hanım’ın çözüm odaklı yaklaşımı ve ilgisi olumlu bir izlenim bıraktı.",,,https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20%26%20Spa%20Bodrum&query_place_id=ChIJZXT_SYldvhQRxJH8xVKHKd4,https://www.google.com/travel/hotels/entity/CgsIxKPyr6zq4ZTeARAB/reviews,Google Travel aggregated (Google),2026-08-25T12:30:47+00:00,5,LOW,smoke_2026-08-25T154947_0000_read_only_case_study_import,False,HIGH
gma_ad03fec34343f640db4e345e,BOD103,ChIJZXT_SYldvhQRxJH8xVKHKd4,Green Bay Resort & Spa Bodrum,Güvercinlik,1,Google üzerinde bir ay önce,"Merhaba, otelin tek iyi yani denizi ve plajı diger her sey vasat hatta sinir bozucu sekilde kötü. Odada mobilyaların üstü yapış yapış, 4 kisi 7 gece konakladıgımız odada sadece 1 kanat dolap vardı esyalarımızı yerlestiremedik, bavuldan cıkarıp giyinmek zorunda kaldık. Odadaki tv de sadece 1 cocuk kanalı var. Otel koridoru halı kaplı üstü envai cesit leke dolu ve berbat pis gözüküyor. Bir aksam sular kesildi bir kac kez elektrikler gitti geldi. Yemekler fena degil bir sekilde doyuluyor, fakat otel kapasitesine göre masa sayısı az yemek zamanında masa bulmak icim elinizde tabak dolasıyorsunuz. Çalısanlar gözle görülür sekilde suratsız ve mutsuz. Bir tek Buse hanım yüzünde güllerle karsıladı bizi, kendisine tesekkür ediyorum. 2 havuz var birine cocukları sokmuyorlar bebekler icin ayrı bir havuzlari da yok 1 haftada 2 kez cocuk havuzu kapandı. Kaydıraga 120 cm altı izin verilmiyormus. Sırf kaydıragı var diye tercih ettigimiz otelde cocukları kaydırak kısmına sokamıyorduk. Bu kadar güvenlik önlemi almaya kalkan isletme, kaydıragın tepesinde calısan tutmuyor, herkes kafasına göre kayıyor. Özetle otelin kafası karısık cocuk dostu olsam mı olmasam mı karar verememis.İlk defa bir tatilimde az gün kaldı diye üzülmek yerine daha kac gün kaldı diye saydım. Çok memnuniyetsiz ve mutsuz ayrılıyoruz.",,,https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20%26%20Spa%20Bodrum&query_place_id=ChIJZXT_SYldvhQRxJH8xVKHKd4,https://www.google.com/travel/hotels/entity/CgsIxKPyr6zq4ZTeARAB/reviews,Google Travel aggregated (Google),2026-08-25T12:30:48+00:00,6,LOW,smoke_2026-08-25T154947_0000_read_only_case_study_import,False,HIGH
gma_960133f3fe802be1a11f182b,BOD103,ChIJZXT_SYldvhQRxJH8xVKHKd4,Green Bay Resort & Spa Bodrum,Güvercinlik,4,Google üzerinde 2 ay önce,"14-17 Haziran olmak üzere toplam 3 gece 4 gün bu otelde konakladık. Çıkacağımız gün uçak biletimiz akşam 19.30 olduğu için check out işleminden sonra saat 17.00 a kadar tesisin tüm imkanlarından sorunsuz bi şekilde faydalandık. Odalar çok yepyeni değil ama gayet yeterli ve ferah. Personel ilgili ve güleryüzlü. Snack bar kusursuz değil ama yeterli. Plaj temiz ve yer şezlong bulma sıkıntısı yok. Deniz temiz ama hafif bulanık fakat biraz çabuk derinleşiyor. Plaj, adult havuz, aqua havuz restoran, 4-8 bar, Lobi gibi yerlerde sürekli alkol, tatlı ve yemek servisi var. Genel olarak çok güzel ve yeterli bi tesis. Kahvaltı çok çeşitli ve güzel. Ancak her şeyi bu kadar güzel olan otelin akşam yemeği nasıl bu kadar kötü olabilir hayret içindeyim. Yani bi akşam bile güzel bir yemek yiyemedik. Çeşit konusunda yetersiz diyemem bence çeşitli seçenekler var ancak her şey inanılmaz lezzetsiz. Dümdüz pilav makarna bile tatsız. Otelden ayrılmadan bi akşam önce sadece risksiz karnımızı doyuracak şeyler aldık aç kalmamak için ama çorba mantı köri soslu tavuk gibi mahalle arası esnaf lokantalarında bile iyisini bulduğunuz yemekler dahi yenmeyecek kadar tatsız. Bunun dışında her şeyiyle çok memnun kaldığımız ve iyi hissettiğimiz bi tatil oldu. Umarım restoran kısmına çare bulunup tesise yakışan bi seviyeye geldiği günlerde tekrar buluşuruz 🙏🏻",,,https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20%26%20Spa%20Bodrum&query_place_id=ChIJZXT_SYldvhQRxJH8xVKHKd4,https://www.google.com/travel/hotels/entity/CgsIxKPyr6zq4ZTeARAB/reviews,Google Travel aggregated (Google),2026-08-25T12:30:48+00:00,7,HIGH,smoke_2026-08-25T154947_0000_read_only_case_study_import,False,HIGH
gma_26e24e80dd0511d7f8d6db00,BOD103,ChIJZXT_SYldvhQRxJH8xVKHKd4,Green Bay Resort & Spa Bodrum,Güvercinlik,2,Google üzerinde 2 hafta önce,Uhd veya tam pansiyon konsept gittiğim oteller içinde en kötüsü diyebilirim. Konumu bulunduğu koy ve çevresinde başka tesis bulunmaması sebebiyle çok iyi. Ancak otel yapısı ve hizmeti çok kötü. Odalar 90'lardan kalmış gibi. Mobilyalar o kadar eski ki boyamışlar ama onda da yanlış boya seçmişler. Üzerine koyduğunuz şeyler yapışıyor. Yataklar eski. Binanın asansörü tabut gibi. Koridorlarda zemin halısında birçok yerde lekeler gördüm. Yemek çeşitliliği yapmaya çalışmışlar ama kullanılan malzemeler ve pişirme o kadar kötü ki hiç tat almıyorsunuz. Uhd konsept bir otelde ilk kez bir yemek bitince yenisinin koyulmadığını gördüm. Yetişemezseniz kalmıyor. Alkollü İçecekler en ucuz markalardan seçilmiş. Sipariş vermek için sıra bekliyorsunuz . Alınca da bunun için mi bekledim dersiniz. Sosyal aktivitelerden haberiniz olmuyor. Bir pano var. Oradan takip etmeniz lazım. Çalışan sayısı az olduğu için personel telef olmuş. Yorgunlukları yüzlerinden belli okuyor. Patlamış mısır ve pamuk şeker var ama parayla:) otelde kim yanında parayla gezer. 2 havuz var çok küçükler. Denize yakın olanı adult pool yapmışlar. Uzak olan herkese açık. Aquapark var ama havuz derinliği çok az. Kaydığınızda ayağınız yere çarpıyor. Otelin sağlam bir yenilenmeye ihtiyacı var. Bu haliyle mdeyeceğiniz paraya değmeyecek bir hixmet alıyorsunuz.,,,https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20%26%20Spa%20Bodrum&query_place_id=ChIJZXT_SYldvhQRxJH8xVKHKd4,https://www.google.com/travel/hotels/entity/CgsIxKPyr6zq4ZTeARAB/reviews,Google Travel aggregated (Google),2026-08-25T12:30:48+00:00,8,LOW,smoke_2026-08-25T154947_0000_read_only_case_study_import,False,HIGH
gma_19fd761e9d24f19b841a76c9,BOD103,ChIJZXT_SYldvhQRxJH8xVKHKd4,Green Bay Resort & Spa Bodrum,Güvercinlik,5,Google üzerinde 3 hafta önce,"Etrafı yemyeşil dağlarla çevirili bir koyda, muhteşem bir konumda olan otelde, toplamda 3 çocuklu 2 aile olarak konaklıyoruz. Sabahları kuş sesleri ile uyanıp, gün boyu Ağustos böceği sesleriyle yüzüyoruz.
Kumsal şahane, restoranın denize yakın olması muhteşem, sahil ve havuz kenarındaki tuvaletler her daim temiz. Ortalıkta bir kişiyi sürekli elinde paspasla yerlerdeki kumları, döküntüleri temizlerken görüyoruz.
Küçük ve büyük çocuklar için iki ayrı kaydıraklı havuz var. Oyun parkı eğlenceli. Çocuklar hiç sıkılmadan zaman geçiriyorlar.
Yeşil alanlar insana ferah hissettiriyor. Bir çok gölgelikli çardak mevcut. Hamakların olduğu bölüm çok huzurlu.
Yemek çeşitliliği ve lezzetinden biz çok memnun kaldık. Yaprak sarması, lahana sarması, çeşit çeşit et ve sebze yemekleri çok güzel. Tatlı reyonu özellikle çok başarılı.
Tek eksiği spor salonundaki aletlerin çok eski ve bakımsız olması. Bir de animasyon ekibinin gün içinde Yetişkin havuzunda konumlandıklarını düşünüyoruz, biz çocuklu aileler olarak göremedik gündüz etkinliklerini. Akşam animasyon gösterileri 10/10 puan alır! Çok kaliteli gösterilerdi! Herkese bu oteli tavsiye ederim.",,,https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20%26%20Spa%20Bodrum&query_place_id=ChIJZXT_SYldvhQRxJH8xVKHKd4,https://www.google.com/travel/hotels/entity/CgsIxKPyr6zq4ZTeARAB/reviews,Google Travel aggregated (Google),2026-08-25T12:30:48+00:00,9,HIGH,smoke_2026-08-25T154947_0000_read_only_case_study_import,False,HIGH
gma_0eba28ad84354f9ce9a2f77a,BOD103,ChIJZXT_SYldvhQRxJH8xVKHKd4,Green Bay Resort & Spa Bodrum,Güvercinlik,3,Google üzerinde 2 hafta önce,"4 gece 5 günlük konaklamamız boyunca personelin güler yüzü gerçekten içimizi ısıttı. Özellikle İbrahim Bey ve Deniz Hanım’ın ilgisi takdir edilesiydi. Plaj alanında yer bulma sorunu yaşamadık, bu da tatilimizi rahat geçirmemizi sağladı. Ancak denizin bulanık olması beklentimizin biraz altında kaldı. Yemekler genel olarak ortalamaydı; aç kalmadık ama menüde sık tekrar olması çeşitlilik açısından zayıf kaldı. Temizlik konusunda ise havlular ve çarşaflar düzenli değiştirildi fakat genel temizlik daha özenli olabilirdi. Genel olarak sıcak bir personel yaklaşımı sayesinde güzel anılarla ayrıldık; ancak yemek çeşitliliği ve genel temizlik konularında iyileştirme yapılırsa çok daha güçlü bir deneyim sunulabilir.",,,https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20%26%20Spa%20Bodrum&query_place_id=ChIJZXT_SYldvhQRxJH8xVKHKd4,https://www.google.com/travel/hotels/entity/CgsIxKPyr6zq4ZTeARAB/reviews,Google Travel aggregated (Google),2026-08-25T12:30:48+00:00,10,MIXED,smoke_2026-08-25T154947_0000_read_only_case_study_import,False,HIGH
